,review,is_bad_review,review_clean,doc2vec_vector_0,doc2vec_vector_1,doc2vec_vector_2,doc2vec_vector_3,doc2vec_vector_4,doc2vec_vector_5,doc2vec_vector_6,doc2vec_vector_7
10552,"Me and my senor collegue from India stayed here and participated in AIChE symposium in the city. Room service was prompt and good. Morning coffee and evening wine festival were fine . Hope it is decent hotel for a short stay and economical .
Room was nice and compact enough for twin sharing.",0,"senor collegue india stay participated aiche symposium city room service prompt good morning coffee even wine festival fine hope decent hotel short stay economical 
room nice compact enough twin share",0.16624269,0.016674079,-0.18287024,0.041109312,0.541742,-0.13860828,0.5412365,0.049979225
34576,"Very easy to get and very convenient to everything downtown. Rooms are average for a Marriott. If you are in town for business or to catch a game, then this is the place to stay.",0,easy get convenient everything downtown room average marriott town business catch game place stay,-0.027931767,0.027956888,-0.018246332,-0.05416511,0.12026184,-0.081935056,0.030805716,0.008523251
1285,"I would not recommend this hotel unless location is your main motivation. The bathroom was unacceptable. The sink was rusted, the shower leaked all over the bathroom floor, there was hardly room for one person in the bathroom, the toilet made noises all night and was old and dirty, the hot water in the sink didnt exist. The hot water in the shower was fine. The radiator heat made clanking noises all night. The bed was fine but the other furniture in the room was in not so great condition. The walls were fine and the carpet was fine.",1,would recommend hotel unless location main motivation bathroom unacceptable sink rust shower leaked bathroom floor hardly room one person bathroom toilet make noise night old dirty hot water sink didnt exist hot water shower fine radiator heat make clank noise night bed fine furniture room great condition wall fine carpet fine,0.2130894,0.05528035,-0.11953125,-0.048384797,0.4238531,-0.13948691,0.4480647,0.13282841
29279,"Location is perfect, staff were friendly. Was disappointed with room, needed updoing. Website makes rooms look alot nicer then they are. Nice whirlpool bath but didn't work and was broken in areas, not good. Bed was very comfy though, great for after long walks all day.",1,location perfect staff friendly disappointed room need updoing website make room look alot nice nice whirlpool bath work broken area good bed comfy though great long walk day,0.09024612,-0.032961436,-0.02172076,0.016521953,0.1820345,-0.091202594,0.21276222,0.026988482
7277,"I came here on business while my family joined me and went sightseeing. The location was perfect for me because it was a two block walk from the building I needed to go to for a course and there's a subway station right at the end of the street. If you're willing to walk, there are
lots of sights within walking distance from the hotel and if not, there is always the subway or taxis.
The room was smaller that another Doubletree I've stayed in in Houston, but I'm guessing that this room size is average for NY. It was clean and the only problem we had was one morning, there was liquid leaking from the bathroom ceiling fan into our toilet and floor. We called the front desk and they promptly sent up a maintenance guy who checked things out and determined that it was because of someone showering with the door improperly closed in the room above us. The leak was fixed and after raising our concerns with the front desk, the management gave us a $--- credit off the room as well as - breakfast vouchers for the hotel restaurant which came in handy.
The staff are friendly and helpful and we were able to book our transport to and from the Newark airport with the bellhop desk. Their business center allows for sending documents straight to the printer and we were able to do some personal business that was as well. 
I would
Recommend this hotel to my colleagues for business travel as it is right in downtown.",0,"come business family join go sightsee location perfect two block walk building need go course there's subway station right end street willing walk are
lots sight within walk distance hotel always subway taxis.
the room small another doubletree i've stay houston i'm guess room size average ny clean problem one morning liquid leak bathroom ceiling fan toilet floor call front desk promptly send maintenance guy check thing determine someone shower door improperly close room leak fixed raise concern front desk management give credit room well breakfast voucher hotel restaurant come handy.
the staff friendly helpful able book transport newark airport bellhop desk business center allow send document straight printer able personal business well 
i would
recommend hotel colleague business travel right downtown",0.33058542,0.04791776,-0.33010986,0.023186691,0.92750305,-0.24088168,0.9237807,0.1976753
953,"We were part of a group block for a family wedding. We stayed three nights in a lovely king bedroom in the original building. The staff couldn't have been friendlier or more accomodating. Of course the location is perfect. We got muni passes and took the cable cars, streetcars, and buses everywhere, leaving our car in the garage. We walked to Chinatown for dinner one night and found good takeout food nearby for another night. There are some good breakfasts spots nearby as well.",0,part group block family wedding stay three night lovely king bedroom original building staff friendlier accomodating course location perfect get muni pass take cable car streetcars bus everywhere leave car garage walk chinatown dinner one night find good takeout food nearby another night good breakfast spot nearby well,0.18416686,0.09138277,-0.2059241,0.014290443,0.46096566,-0.10130568,0.42405027,0.11072506
34921,"I stayed at the Edison hotel on ---------. I have mixed feelings about the hotel. 
First the pros: The location of the hotel is excellent, in Times Square, near the theaters and the red stairs. Since our arrival, the service is excellent. From the bellman, to the check in personnel, all do their best to help and please you. 
When I check out, I forgot my camera (with the photos of my two weeks road trip) over the bed. I called at -:--AM to notify the hotel. They transfer me to security. I explained the situation and they told me that they will verify my room and keep my camera. An hour later I called back and they told me they already had my camera in the security area; they explained me the process to send it back to me, and asked for my information to send it back. The same day, the security manager sent me an email asking for my confirmation for the shipping charges. A couple of days after I received my camera in Puerto Rico. Thomas Chestnaro, the security manager, was super attentive!! He managed the situation in an outstanding way, and for my complete satisfaction.
Now the cons: The room was horrible. The carpet in the aisles and the room was dated and dirty. The sheets of the beds were old and ugly. The bathroom had an awkward design. The toilet almost block the access to the bathroom. When you open the bathroom door, you trip into the toilet. There was no space in the bathroom to hang the towels nor to put your toiletteries. The tub and the tiles had lime. The tub was clogged and kept the water used by my husband and two girls. When they cleaned the room, they only emptied the tub, just to be filled again when we took the next shower. The beds were uncomfortable. You could feel the springs of the mattresses. There were electric or phone cables exposed in one corner of the room. The air conditioner was super noisy. The hotel only have one ice machine on floor - for the whole hotel. Unless you went to pick ice at -am, you will not find any ice. I definitively will no go back to this hotel. There are better hotels nearby for the same or better price.",1,"stayed edison hotel mixed feeling hotel 
first pros location hotel excellent time square near theater red stair since arrival service excellent bellman check personnel best help please 
when check forget camera photo two week road trip bed call notify hotel transfer security explain situation tell verify room keep camera hour later call back tell already camera security area explain process send back ask information send back day security manager send email ask confirmation shipping charge couple day receive camera puerto rico thomas chestnaro security manager super attentive manage situation outstanding way complete satisfaction.
now con room horrible carpet aisle room date dirty sheet bed old ugly bathroom awkward design toilet almost block access bathroom open bathroom door trip toilet space bathroom hang towel put toiletteries tub tile lime tub clog kept water use husband two girl clean room empty tub fill take next shower bed uncomfortable could feel spring mattress electric phone cable expose one corner room air conditioner super noisy hotel one ice machine floor whole hotel unless go pick ice find ice definitively go back hotel well hotel nearby well price",0.56163806,-0.0056417855,-0.5117718,-0.03775481,1.5545509,-0.3815714,1.4939116,0.36653253
26004,"Quite a nice Hotel in a location that is betwixt and between.
Not really within walking distance of any facilities (cafes, shops etc) but has a beautiful outlook over the Marina.
Very handy to the airport though, if you are flying in.
Our room faced the Marina so aircraft noise was not a problem. May be different on airport side.
The TV selection is skewed towards business with very few Childrens channels.
Glad we had a room at the main building as the other section was quite a distance.
Must mention Rocio as she was a standout server.",0,"quite nice hotel location betwixt between.
not really within walk distance facility cafes shop etc beautiful outlook marina.
very handy airport though fly in.
our room face marina aircraft noise problem may different airport side.
the tv selection skew towards business childrens channels.
glad room main building section quite distance.
must mention rocio standout server",0.29894048,0.0398929,-0.26209453,0.0131228715,0.78385645,-0.26025122,0.8496784,0.16904137
38779,"i reserved two nights, online, then i cancel one night and actually stay one night. Later when i back to home, i receive two nights charge from VISA. All the system emails indicated that the cancellation is done correctly.
Couple of calls and emails, then I got the reply that online reservation can't be canceled, or can be canceled online but no refund (my cancellation was two weeks ahead).
I live at Asia so online reservation is easier for me, but i think even for people live in States are also used to online reservation. If that is a pre-paid without refund, it shall show clearly at final step (or any step) that this operation is """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""not refundable"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""". The system did have this information but in separate """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""term and condition"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" or not-obvious position.
The manager refuse to admit any fault they might have.
the online reservation system is just like a trap.",1,"reserve two night online cancel one night actually stay one night later back home receive two night charge visa system email indicate cancellation do correctly.
couple call email get reply online reservation can't cancel cancel online refund cancellation two week ahead).
i live asia online reservation easier think even people live state also use online reservation pre-paid without refund shall show clearly final step step operation refundable system information separate term condition not-obvious position.
the manager refuse admit fault might have.
the online reservation system like trap",0.5212339,0.012553233,-0.39859638,0.045346707,1.1891643,-0.334574,1.1146709,0.17289095
34602,"This hotel is pretty average. I was surprised at how there was only - elevator for -- floors. Often times, the wait for the elevator was more than - minutes. When my room key didnt work, the receptionist said she could not give me another room key because my name was under my mothers name and not mine. I had to call my mother and have her talk to the receptionist to verify I was allowed to enter the room. Good security precaution I suppose, but really? I mean, I don't look very threatening, trust me. The TV in the room didn't work, which didnt bother us much because we were out seeing the city. But the air in the room was SO DRY! I woke up every morning with a horse throat. I couldn't seem to get the air conditioning to turn off, either. It was constantly -- degrees in there. I had to bundle up each night. The beds are average comfort, double beds. Don't expect anything special at this place.",1,hotel pretty average surprised elevator floor often time wait elevator minute room key didnt work receptionist say could give another room key name mother name mine call mother talk receptionist verify allow enter room good security precaution suppose really mean look threaten trust tv room work didnt bother much see city air room dry woke every morning horse throat seem get air condition turn either constantly degree bundle night bed average comfort double bed expect anything special place,0.26268575,-0.038802404,-0.22601637,0.02842084,0.7561331,-0.20813581,0.74294376,0.19698858
3525,"I stayed in the Westin Georgetown for one night in connection with my company's holiday party. The front desk staff and concierge could not have been more welcoming and friendly. At $--- (the negotiated room rate for our party) I felt the value was good for the location. The room was nice, but didn't have some things that are important to me - thus the average rating. I missed having a refrigerator. There was a small chair but I would have liked a more significant chair or sofa to relax in. The room was very dark. I realize they are working hard to be """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""green"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" but I could hardly read with the lighting as it was. The bathroom was great with a soaking tub and rainfall shower (separate). Though it may not work for a family as there was no curtain on the tub and the stall had a glass door - so no privacy if someone else is using the sink or passing through to the toilet. My BIG issue was the valet parking. We checked out at noon, which I understand is a busy time. However, after I handed over my ticket and waited a bit one of the valets came over with two keys and paperwork and asked me if one of the cars was mine (it wasn't). I told him what kind of car I had. A few minutes later the experience was repeated by another valet. Finally someone asked me what kind of car I was waiting for, I told him, and -- minutes later it was brought to me. Bottom line -- I could easily have slipped out in someone else's much nicer vehicle if I'd been so inclined - SCARY. If you do stay here and drive in, be aware that the hotel is VERY hard to spot. The small driveway cuts across the corner of M St and --th and it's awfully easy to miss.",1,stay westin georgetown one night connection company's holiday party front desk staff concierge could welcome friendly negotiated room rate party felt value good location room nice thing important thus average rating miss refrigerator small chair would like significant chair sofa relax room dark realize work hard green could hardly read light bathroom great soak tub rainfall shower separate though may work family curtain tub stall glass door privacy someone else use sink pass toilet big issue valet park check noon understand busy time however hand ticket wait bit one valet come two key paperwork ask one car mine tell kind car minute later experience repeat another valet finally someone ask kind car wait tell minute later bring bottom line could easily slip someone else's much nicer vehicle i'd incline scary stay drive aware hotel hard spot small driveway cut across corner st th awfully easy miss,0.48239264,0.052023906,-0.44093812,-0.048622895,1.3105079,-0.31421995,1.1901491,0.22487833
25076,My husband and live in San Diego but we do not have a swimming pool so decided to go to a hotel in San Diego for - days to get away from the house and use the swimming pool. The Pearl has a salt water pool and so that is why I chose this hotel. We never did use the pool because it feels like your in a fish bowl. The hotel is U shaped with the pool in the center. The restaurant-bar is open and facing toward the pool and people sitting around the pool at the restaurant-bar seats and tables. No one was in the pool. We ate at the restaurant once. The food came beautifully prepared and delicious but the portions are quite small and pricey. The choice of items on the menu are not those of your everyday restaurants. The decor in the room is modern and selected to make good use of the tiny space (see my photos). Our room sat at the back on the second floor and seemed quiet enough and clean. There is not much room to hang or store your clothes and the shower stall is small. The bed was comfortable but felt a little bit short of a queen size. In the photo the bed looks really small because it is made-up from side to side and not from head to toe but you just move the pillows to sleep long way. We usually could find a place on the street to park but had to walk a couple of blocks which is not problem for us.,1,husband live san diego swim pool decide go hotel san diego day get away house use swim pool pearl salt water pool choose hotel never use pool feel like fish bowl hotel shape pool center restaurant-bar open face toward pool people sit around pool restaurant-bar seat table one pool ate restaurant food come beautifully prepared delicious portion quite small pricey choice item menu everyday restaurant decor room modern select make good use tiny space see photos room sit back second floor seem quiet enough clean much room hang store clothes shower stall small bed comfortable felt little bit short queen size photo bed look really small made-up side side head toe move pillow sleep long way usually could find place street park walk couple block problem,0.36798906,0.05478028,-0.3608665,-0.078056954,0.8329793,-0.22230121,0.86687416,0.20266214
30871,"We've stayed in a lot of upscale hotels that have horrible lighting. The Baymont had really good lighting, a firm bed, and decent water pressure. They have fresh baked cookies in the lobby and fresh coffee ----. The gym was sufficient in that it had - types of cardio equipment. Some free weights or a total gym would have made the gym more complete. The free breakfast buffet was nice but healthier food would have made it even better. The staff was extremely nice and helpful.",0,we've stay lot upscale hotel horrible light baymont really good lighting firm bed decent water pressure fresh baked cooky lobby fresh coffee gym sufficient type cardio equipment free weight total gym would make gym complete free breakfast buffet nice healthier food would make even well staff extremely nice helpful,0.20332508,-0.031290006,-0.17333353,0.043215163,0.49857217,-0.14176327,0.5159113,0.07397531
